,x,f(x),f'(x)
78,95236.3203088803,597184945455104.0,-7.940951312047846e+16
79,95236.32685195078,519582024859648.0,-7.94095105260312e+16
80,95236.3325447635,452063459016704.0,-7.940950826872699e+16
81,95236.3374978071,393318746685440.0,-7.940950630475477e+16
82,95236.3418072131,342207796346880.0,-7.940950459599682e+16
83,95236.34555662084,297738605821952.0,-7.940950310928827e+16
84,95236.34881880086,259048089976832.0,-7.94095018157746e+16
85,95236.35165706738,225385327362048.0,-7.940950069035022e+16
86,95236.35412650689,196096956563456.0,-7.940949971117259e+16
87,95236.3562750481,170614581493760.0,-7.940949885923698e+16
88,95236.35814439067,148443555037184.0,-7.940949811800874e+16
89,95236.35977081621,129153634402304.0,-7.94094974731015e+16
90,95236.36118589107,112370383323136.0,-7.940949691199867e+16
91,95236.36241708003,97768095612928.0,-7.940949642380998e+16
92,95236.36348827835,85063318110208.0,-7.940949599906042e+16
93,95236.36442027686,74009531908096.0,-7.940949562950616e+16
94,95236.36523116409,64392145141760.0,-7.940949530797469e+16
95,95236.36593667802,56024504860672.0,-7.94094950282256e+16
96,95236.36655051188,48744237498368.0,-7.940949478482936e+16
97,95236.36708457927,42410021224448.0,-7.940949457306202e+16
98,95236.36754924558,36898916532224.0,-7.940949438881331e+16
99,95236.36795352945,32103977582592.0,-7.940949422850744e+16
100,95236.36830527747,27932132507648.0,-7.940949408903302e+16
101,95236.36861131675,24302424555520.0,-7.940949396768291e+16
102,95236.36887758659,21144352587776.0,-7.940949386210205e+16
103,95236.36910925513,18396681994240.0,-7.940949377024133e+16
104,95236.36931081887,16006074728448.0,-7.940949369031758e+16
105,95236.36948618984,13926119768064.0,-7.940949362077984e+16
106,95236.3696387719,12116463583232.0,-7.940949356027832e+16
107,95236.36977152631,10541960790016.0,-7.940949350763886e+16
108,95236.3698870293,9172033863680.0,-7.940949346183968e+16
109,95236.36998752301,7980153962496.0,-7.940949342199226e+16
110,95236.3700749579,6943160139776.0,-7.940949338732266e+16
111,95236.3701510308,6040911085568.0,-7.940949335715843e+16
112,95236.37021721815,5255903707136.0,-7.940949333091392e+16
113,95236.37027480465,4572914515968.0,-7.940949330807979e+16
114,95236.37032490784,3978668670976.0,-7.940949328821301e+16
115,95236.3703685,3461631311872.0,-7.940949327092787e+16
116,95236.37040642765,3011816194048.0,-7.940949325588894e+16
117,95236.37043942681,2620447129600.0,-7.940949324280413e+16
118,95236.3704681377,2279917092864.0,-7.940949323141978e+16
119,95236.37049311757,1983638798336.0,-7.940949322151483e+16
120,95236.37051485143,1725874700288.0,-7.940949321289696e+16
121,95236.37053376084,1501586915328.0,-7.940949320539899e+16
122,95236.37055021312,1306467237888.0,-7.940949319887538e+16
123,95236.37056452762,1136706977792.0,-7.94094931931995e+16
124,95236.37057698189,988987654144.0,-7.940949318826117e+16
125,95236.37058781763,860460417024.0,-7.940949318396453e+16
126,95236.37059724542,748656394240.0,-7.940949318022634e+16
127,95236.3706054483,651386421248.0,-7.940949317697376e+16
128,95236.370612585,566721249280.0,-7.940949317414386e+16
129,95236.37061879385,493041483776.0,-7.940949317168178e+16
130,95236.37062419645,429017923584.0,-7.940949316953974e+16
131,95236.37062889703,373270773760.0,-7.940949316767586e+16
132,95236.3706329866,324750671872.0,-7.940949316605427e+16
133,95236.37063654471,282548109312.0,-7.940949316464336e+16
134,95236.37063964047,245833138176.0,-7.940949316341584e+16
135,95236.3706423338,213876211712.0,-7.94094931623478e+16
136,95236.37064467707,186077806592.0,-7.94094931614187e+16
137,95236.37064671596,161907605504.0,-7.940949316061022e+16
138,95236.37064848989,140866224128.0,-7.940949315990685e+16
139,95236.3706500332,122553892864.0,-7.940949315929488e+16
140,95236.37065137624,106650402816.0,-7.940949315876237e+16
141,95236.37065254457,92776038400.0,-7.940949315829907e+16
142,95236.37065356135,80741007360.0,-7.940949315789595e+16
143,95236.37065444581,70235324416.0,-7.940949315754531e+16
144,95236.37065521548,61119135744.0,-7.940949315724005e+16
145,95236.37065588507,53172371456.0,-7.940949315697454e+16
146,95236.37065646768,46265139200.0,-7.940949315674357e+16
147,95236.37065697453,40247754752.0,-7.940949315654264e+16
148,95236.37065741552,35019816960.0,-7.94094931563677e+16
149,95236.37065779926,30471618560.0,-7.940949315621558e+16
150,95236.37065813289,26493321216.0,-7.940949315608325e+16
151,95236.37065842334,23064739840.0,-7.940949315596808e+16
152,95236.3706586759,20055982080.0,-7.940949315586787e+16
153,95236.37065889574,17456955392.0,-7.940949315578075e+16
154,95236.370659087,15187968000.0,-7.940949315570496e+16
155,95236.37065925346,13218742272.0,-7.940949315563896e+16
156,95236.37065939826,11499470848.0,-7.940949315558152e+16
157,95236.3706595242,10000007168.0,-7.940949315553157e+16
158,95236.37065963389,8710651904.0,-7.940949315548811e+16
159,95236.3706597291,7561150464.0,-7.940949315545022e+16
160,95236.37065981186,6571425792.0,-7.940949315541744e+16
161,95236.37065988417,5741871104.0,-7.940949315538886e+16
162,95236.37065994716,5002100736.0,-7.940949315536392e+16
163,95236.37066000172,4332453888.0,-7.940949315534216e+16
164,95236.37066004923,3772645376.0,-7.940949315532336e+16
165,95236.3706600907,3292790784.0,-7.9409493155307e+16
166,95236.37066012676,2863005696.0,-7.940949315529264e+16
167,95236.37066015803,2483159040.0,-7.940949315528026e+16
168,95236.37066018514,2153250816.0,-7.940949315526952e+16
169,95236.370660209,1893466112.0,-7.940949315526003e+16
170,95236.37066022957,1633550336.0,-7.940949315525194e+16
171,95236.37066024763,1433534464.0,-7.940949315524474e+16
172,95236.37066026342,1253703680.0,-7.940949315523854e+16
173,95236.3706602772,1093795840.0,-7.940949315523304e+16
174,95236.37066028909,943849472.0,-7.94094931552283e+16
175,95236.37066029922,803864576.0,-7.940949315522422e+16
176,95236.37066030795,693895168.0,-7.940949315522077e+16
