r,m,P
1129570.0,5.77655044754525e+28,9.983724579003958e+27
1139570.0,5.93125331616099e+28,9.983434319524603e+27
1149570.0,6.08869181771237e+28,9.983141511967063e+27
1159570.0,6.24888983677627e+28,9.982846156600567e+27
1169570.0,6.411871254756476e+28,9.982548253696683e+27
1179570.0,6.577659949856299e+28,9.982247803529306e+27
1189570.0,6.746279797051206e+28,9.98194480637467e+27
1199570.0,6.917754668061453e+28,9.981639262511333e+27
1209570.0,7.092108431324722e+28,9.981331172220192e+27
1219570.0,7.26936495196877e+28,9.981020535784473e+27
1229570.0,7.44954809178408e+28,9.98070735348973e+27
1239570.0,7.632681709196517e+28,9.980391625623848e+27
1249570.0,7.818789659239991e+28,9.980073352477043e+27
1259570.0,8.007895793529132e+28,9.979752534341857e+27
1269570.0,8.20002396023196e+28,9.979429171513165e+27
1279570.0,8.395198004042571e+28,9.979103264288166e+27
1289570.0,8.593441766153827e+28,9.978774812966387e+27
1299570.0,8.794779084230047e+28,9.978443817849682e+27
1309570.0,8.999233792379711e+28,9.978110279242233e+27
1319570.0,9.206829721128166e+28,9.977774197450543e+27
1329570.0,9.417590697390344e+28,9.977435572783446e+27
1339570.0,9.63154054444348e+28,9.977094405552098e+27
1349570.0,9.84870308189984e+28,9.97675069606998e+27
1359570.0,1.0069102125679458e+29,9.976404444652892e+27
1369570.0,1.0292761487982873e+29,9.976055651618963e+27
1379570.0,1.0519704977263878e+29,9.975704317288642e+27
1389570.0,1.074995639820228e+29,9.9753504419847e+27
1399570.0,1.0983539551676652e+29,9.974994026032226e+27
1409570.0,1.1220478234737105e+29,9.974635069758634e+27
1419570.0,1.1460796240578069e+29,9.974273573493656e+27
1429570.0,1.1704517358511067e+29,9.973909537569343e+27
1439570.0,1.195166537393751e+29,9.973542962320066e+27
1449570.0,1.220226406832149e+29,9.973173848082515e+27
1459570.0,1.2456337219162584e+29,9.972802195195694e+27
1469570.0,1.271390859996867e+29,9.97242800400093e+27
1479570.0,1.2975001980228735e+29,9.97205127484186e+27
1489570.0,1.3239641125385708e+29,9.97167200806444e+27
1499570.0,1.3507849796809293e+29,9.97129020401694e+27
